Registro ANS,Razão Social,Nome Fantasia,CNPJ,Logradouro,Complemento,Bairro,CEP,Município,Estado,Telefone 1
410624,CONFIANÇA ASSISTÊNCIA MÉDICO HOSPITALAR LTDA,CONFIANÇA SAÚDE,03.613.857/0001-75,,,,,,,
405931,CONSTRUDENTE ASSISTENCIA ODONTOLOGICA LTDA,CONSTRUDENTE,60.537.495/0001-14,,,,,,,
418323,CONTEM ADMINISTRADORA DE PLANOS DE SAÚDE LTDA.,CONTEM ADMINISTRADORA DE BENEFICIOS,13.286.268/0001-83,,,,,,,
367087,COOPERATIVA CENTRAL UNIMED DE COOPERATIVAS DE ASSISTÊNCIA À SAÚDE DO RIO GRANDE DO SUL LTDA.,UNIMED RIO GRANDE DO SUL,87.158.507/0001-56,,,,,,,
353477,COOPERATIVA DE ASSISTÊNCIA ODONTOLÓGICA VALE DO CAÍ LTDA - DENTSUL,DENTSUL,01.041.724/0001-46,,,,,,,
418242,COOPERATIVA DE SAÚDE ODONTOLÓGICA - UNIODONTO RORAIMA,UNIODONTO DE RORAIMA,01.750.093/0001-34,,,,,,,
313084,COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA,UNIMED DE ARAGUAINA,25.064.148/0001-10,,,,,,,
337188,COOPERATIVA DE TRABALHO MÉDICO DE POUSO ALEGRE,UNIMED SUL MINEIRA,21.490.586/0001-90,,,,,,,
317012,COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA,UNIMED PLANALTO NORTE,85.177.194/0001-58,,,,,,,
318213,COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO,UNIMED LAGES,85.246.916/0001-89,,,,,,,
419028,COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ,,25.906.728/0001-08,,,,,,,
359459,COOPERATIVA DOS CIRURGIÕES DENTISTAS DO ESTADO DE SERGIPE,COOPERDONTO,02.725.037/0001-02,,,,,,,
404241,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA,COOPERSINOS LTDA,72.350.382/0001-94,,,,,,,
406805,COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE LTDA.,COOPUSAÚDE,03.268.622/0001-93,,,,,,,
400572,COOPERATIVA EVIDENTE - COOPERATIVA DE TRABALHO ODONTOLÓGICA DE BOTUCATU,EVIDENTE,02.947.180/0001-49,,,,,,,
342335,COOPERATIVA ODONTOLÓGICA DE GARANHUNS E AGRESTE MERIDIONAL.,UNIODONTO GARANHUNS,01.501.597/0001-10,,,,,,,
365785,COOPERATIVA ODONTOLÓGICA DO ESTADO DO AMAPÁ,UNIODONTO AMAPÁ,02.254.846/0001-83,,,,,,,
409791,COOPERATIVA ODONTOLÓGICA POÇOS DE CALDAS,UNIODONTO POÇOS DE CALDAS,03.494.031/0001-34,,,,,,,
402010,COOPERATIVA ODONTOLÓGICA REGIÃO SUL DA BAHIA - UNIODONTO,UNIODONTO ITABUNA,00.491.998/0001-74,,,,,,,
353892,COOPERCISO - CENTRO INTEGRADO DE SERVIÇO ODONTOLÓGICO S/S LTDA.,COOPERCISO,19.052.653/0001-42,,,,,,,
407241,COOP-ODONTOCLASSIC - COOPERATIVA DE TRABALHO ODONTOLÓGICO,ODONTOCLASSIC,02.298.249/0001-50,,,,,,,
418757,CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA,CORPLIFE ADMINISTRADORA DE BENEFÍCIOS LTDA,73.505.463/0001-89,,,,,,,
418960,CORPORE ADMINISTRADORA DE BENEFICIOS DA SAUDE LTDA,,17.670.901/0001-93,,,,,,,
368181,CROE - CENTRO DE REABILITACAO ORAL ESPECIALIZADO LTDA,CROE-CENTRO DE REABILITAÇAO ORAL ESPECIALIZADO LTDA,19.009.638/0001-11,,,,,,,
397245,CROWN ODONTOLOGIA DE GRUPO LTDA,CROWN ODONTOLOGIA DE GRUPO LTDA,69.099.307/0001-98,,,,,,,
421952,CRZ PLANO ODONTOLÓGICO LTDA,CRUZ DENTAL,33.803.129/0001-97,,,,,,,
422045,CTESK ADMINISTRADORA DE BENEFIÍCIOS LTDA,CTESK ADMINISTRADORA DE BENEFIÍCIOS,34.824.393/0001-70,,,,,,,
416118,DANA INDUSTRIAS LTDA.,,00.253.137/0001-58,,,,,,,
421081,DELFHI PLANOS ODONTOLÓGICOS LTDA,DELFHI ODONTO,27.832.058/0001-58,,,,,,,
420239,DENTAL CARE ASSISTÊNCIA ODONTOLÓGICA LTDA,DENTAL CARE,24.619.902/0001-79,,,,,,,
386219,DENTAL CARE CLINICA ODONTOLOGICA LTDA,ODONTOLOGICA,66.493.529/0001-00,,,,,,,
339458,DENTAL CENTER LTDA,DENTAL CENTER LTDA,35.436.658/0001-25,,,,,,,
300730,DENTAL GOLD ASSISTÊNCIA ODONTOLÓGICA LTDA.,DENTAL GOLD,01.402.285/0001-50,,,,,,,
413747,DENTAL MASTER LTDA - EPP,DENTAL MASTER,04.212.174/0001-79,,,,,,,
314366,DENTAL PLUS CONVÊNIO ODONTOLÓGICO LTDA.,DENTAL PLUS CONVÊNIO ODONTOLÓGICO,00.571.628/0001-47,,,,,,,
304484,DENTAL UNI - COOPERATIVA ODONTOLÓGICA,DENTAL UNI,78.738.101/0001-51,,,,,,,
423050,DENTAL WHITE PLANO DE ASSISTÊNCIA ODONTOLÓGICA LTDA,DENTAL WHITE,43.192.903/0001-24,,,,,,,
401463,DENTALMASTER COMÉRCIO DE PLANOS ODONTOLÓGICOS LTDA,DENTALMASTER,01.364.933/0001-20,,,,,,,
422975,DENTALMASTER LTDA,DENTALMASTER,39.527.909/0001-38,,,,,,,
333620,DENTAL-MED ASSISTENCIA ODONTOLOGICA S/S LTDA,ORALMED ASSISTENCIA ODONTOLOGICA,00.073.193/0001-00,,,,,,,
322890,DENTALPAR ASSISTÊNCIA ODONTOLÓGICA EMPRESARIAL LTDA.,DENTALPAR,02.156.150/0001-14,,,,,,,
416908,DENTALPLAN PLANOS DE ASSISTENCIA ODONTOLOGICA LTDA,DENTALPLAN VALE DO SÃO FRANCISCO,05.616.674/0001-39,,,,,,,
327867,DENTIÇÃO CONVÊNIOS ODONTOLÓGICOS LTDA,DENTALPREV,01.060.301/0001-73,,,,,,,
414425,DENTSY ODONTOLOGIA S/S LTDA.,DENTSY ODONTOLOGIA,03.113.408/0001-68,,,,,,,
357669,DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL,DESBAN,19.969.500/0001-64,,,,,,,
423271,DIXMED ADMINISTRADORA DE BENEFICIOS LTDA,DIXMED,45.768.601/0001-87,,,,,,,
349682,DOCTOR CLIN OPERADORA DE PLANOS DE SAÚDE LTDA.,DOCTOR CLIN,01.387.625/0001-10,,,,,,,
365645,DONA SAÚDE CLINICAS LTDA,DONA SAÚDE.,30.505.523/0001-50,,,,,,,
423653,DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA,DR DIA PLANOS ODONTOLOGICOS E SAUDE LTDA,47.058.412/0001-46,,,,,,,
418927,EASY SAUDE ADMINISTRADORA DE BENEFICIOS LTDA,,17.312.105/0001-89,,,,,,,
421120,EASYPLAN ADMINISTRADORA DE BENEFICIOS LTDA.,EASYPLAN ADMINISTRADORA,27.252.086/0001-04,,,,,,,
342611,ECONOMUS INSTITUTO DE SEGURIDADE SOCIAL,,49.320.799/0001-92,,,,,,,
417343,ECS ADMINISTRADORA DE BENEFICIOS LTDA,,39.245.402/0001-91,,,,,,,
423521,EGRÉGORA  ADMINISTRADORA DE BENEFICIOS S/A,EGRÉGORA  ADMINISTRADORA DE BENEFICIOS S/A,48.578.525/0001-35,,,,,,,
422070,ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,ELETROS-SAÚDE,34.844.263/0001-07,,,,,,,
424544,ELITE SAUDE SERVICOS MEDICOS LTDA.,ELITE SAUDE,58.434.577/0001-91,,,,,,,
417297,ELOSAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,ELOSAÚDE,11.593.821/0001-03,,,,,,,
400891,EMPRESA BRASILEIRA DE INFRA-ESTRUTURA AEROPORTUÁRIA,INFRAERO,00.352.294/0001-10,,,,,,,
395480,ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.,SMILE,37.135.365/0001-33,,,,,,,
422576,ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS LTDA.,ESPLENDOR ADMINISTRADORA DE BENEFÍCIOS,37.442.364/0001-31,,,,,,,
417441,EV ADMINISTRADORA DE BENEFÍCIOS LTDA,,01.856.107/0001-07,,,,,,,
401480,EVANGELICO SAUDE LTDA.,MEDSUL SAUDE,02.989.632/0001-55,,,,,,,
423700,EVO SAUDE ASSISTENCIA MEDICA LTDA,EVO SAÚDE,49.754.083/0001-01,,,,,,,
423785,EVOLUÇÃO ADMINISTRADORA DE BENEFICIOS LTDA,AFFIANCE,51.107.481/0001-70,,,,,,,
421642,EXCELÊNCIA PLANO DE SAÚDE S/A,MERIDIONAL SAÚDE,31.763.326/0001-02,,,,,,,
424471,EXCLUSIVO ODONTO ASSISTENCIA ODONTOLOGICA LTDA,EXCLUSIVO ODONTO,58.363.709/0001-31,,,,,,,
416282,E.X.M BRASIL SAÚDE LTDA,AMEX SAÚDE,07.893.499/0001-52,,,,,,,
414204,EXTRAMED ADMINISTRAÇÃO E SERVIÇOS MÉDICOS LTDA,EXTRAMED,01.747.987/0001-75,,,,,,,
423777,FEBRAFITE SAUDE,FEBRAFITE SAUDE,11.641.931/0001-95,,,,,,,
415626,FEDERAÇÃO DAS COOP ODONTOLÓGICAS DO ESTADO DE SANTA CATARINA,UNIODONTO CATARINENSE,07.270.625/0001-12,,,,,,,
313971,"FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA",FAMA,84.112.481/0001-17,,,,,,,
423581,FEDERAL ADMINISTRADORA DE BENEFICIOS LTDA,FEDERAL ADMINISTRADORA DE BENEFICIOS,49.390.919/0001-28,,,,,,,
410888,FILOSANITAS SAUDE LTDA,SANTA FILOMENA SAUDE,03.637.776/0001-05,,,,,,,
421847,FOCO ADMINISTRADORA DE BENEFICIOS LTDA,,33.105.631/0001-24,,,,,,,
423921,FOX SAÚDE ASSISTÊNCIA MÉDICA INTEGRADA LTDA,FOX SAÚDE,52.174.905/0001-81,,,,,,,
419818,FR PLANO ODONTOLÓGICO LTDA,LODONTO ESPAÇO DO SORRISO,09.030.500/0001-40,,,,,,,
370592,FUNASA SAÚDE,FUNASA SAÚDE,02.618.303/0001-06,,,,,,,
315567,FUNDAÇÃO AFFEMG DE ASSISTÊNCIA E SAÚDE - FUNDAFFEMG,FUNDAFFEMG,00.660.903/0001-07,,,,,,,
346926,FUNDAÇÃO ASSISTENCIAL DOS SERVIDORES DO MINISTÉRIO DA FAZENDA,FUNDAÇÃO ASSEFAZ,00.628.107/0001-89,,,,,,,
329665,FUNDACAO CAPITAL PREVIDENCIA E SAUDE - CAPITAL PREV,CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE,00.580.481/0001-51,,,,,,,
315044,FUNDAÇÃO CELESC DE SEGURIDADE SOCIAL - CELOS,FUNDAÇÃO CELESC,82.956.996/0001-78,,,,,,,
315478,FUNDAÇÃO CESP,VIVEST,62.465.117/0001-06,,,,,,,
317233,FUNDAÇÃO CHESF DE ASSISTÊNCIA E SEGURIDADE SOCIAL,FACHESF,42.160.192/0001-43,,,,,,,
307751,FUNDAÇAO COMPESA DE PREVIDENCIA E ASSISTENCIA - COMPESAPREV,COMPESAPREV,12.585.261/0001-08,,,,,,,
355151,FUNDAÇÃO COPEL DE PREVIDÊNCIA E ASSISTÊNCIA SOCIAL,FUNDAÇÃO COPEL,75.054.940/0001-62,,,,,,,
420701,FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL,FAS/AMP/RS,25.063.964/0001-00,,,,,,,
339636,FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES,FUNDAÇÃO DE ASSISTÊNCIA E PREVIDÊNCIA SOCIAL DO BNDES,00.397.695/0001-97,,,,,,,
311359,FUNDAÇÃO DE SAÚDE ITAIGUAPY,HOSPITAL ITAMED,00.304.148/0001-10,,,,,,,
330809,FUNDAÇÃO DE SEGURIDADE SOCIAL DA ARCELORMITTAL BRASIL - FUNSSEST,FUNSSEST,31.787.625/0001-79,,,,,,,
418285,FUNDAÇÃO FIAT SAÚDE E BEM ESTAR,STELLANTIS SAUDE MG,12.838.821/0001-80,,,,,,,
323942,FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO,HOSPITAL ARNALDO GAVAZZA FILHO,26.150.979/0001-78,,,,,,,
410292,FUNDACAO LEONOR DE BARROS CAMARGO,FUNDACAO LEONOR DE BARROS CAMARGO,60.499.365/0001-34,,,,,,,
378216,FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL,FUNDAÇÃO LIBERTAS,20.119.509/0001-65,,,,,,,
418501,FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA,PLAMHUV,14.408.631/0001-59,,,,,,,
338648,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,FUNDAÇÃO SANEPAR DE ASSISTÊNCIA SOCIAL,77.375.897/0001-62,,,,,,,
339954,FUNDAÇÃO SÃO FRANCISCO XAVIER,HOSPITAL MÁRCIO CUNHA,19.878.404/0001-00,,,,,,,
312126,FUNDAÇÃO SAÚDE ITAÚ,FUNDAÇÃO SAÚDE ITAÚ,73.809.352/0001-66,,,,,,,
414689,FUNDO DE ASSISTÊNCIA À SAÚDE DOS FUNCIONÁRIOS DO BEC,FAMED,04.839.091/0001-04,,,,,,,
418129,FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO,FAMEH/MP,13.026.081/0001-40,,,,,,,
409286,G & M ASSESSORIA MEDICA EMPRESARIAL LTDA - EPP,LIFE LAGOS SAUDE,68.687.722/0001-08,,,,,,,
407011,GAMA SAUDE LTDA.,GAMA SAUDE LTDA.,02.009.924/0001-84,,,,,,,
343064,GARANTIA DE SAÚDE LTDA,GARANTIA DE SAÚDE,45.572.583/0001-63,,,,,,,
419931,GEAC - GERENCIAMENTO EMPRESARIAL LTDA,,10.547.779/0001-13,,,,,,,
323080,GEAP AUTOGESTÃO EM SAÚDE,GEAP,03.658.432/0001-82,,,,,,,
423076,GESTÃO ADMINISTRADORA DE PLANOS DE SAUDE LTDA,,43.607.343/0001-21,,,,,,,
424226,GESTAO VIDA ADMINISTRADORA DE BENEFICIOS LTDA.,,39.734.514/0001-06,,,,,,,
416819,GKN DO BRASIL LTDA,,58.512.310/0001-75,,,,,,,
422258,GLOBAL-AL ADMINISTRADORA DE BENEFÍCIOS LTDA,GLOBAL ADMINISTRADORA DE BENEFÍCIOS LTDA,31.069.197/0001-49,,,,,,,
422681,GOCARE PLANOS DE SAUDE LTDA,,40.187.311/0001-26,,,,,,,
423726,GOLD PLAN EMPREENDIMENTOS LTDA,GOLD PLAN.,50.354.200/0001-10,,,,,,,
309222,GRUPO HOSPITALAR DO RIO DE JANEIRO LTDA,ASSIM SAÚDE,31.925.548/0001-76,,,,,,,
413160,GS PLANO GLOBAL DE SAÚDE LTDA,GS,04.165.719/0001-33,,,,,,,
419443,G2C ADMINISTRADORA DE BENEFICIOS LTDA - ME,,16.692.996/0001-83,,,,,,,
368253,HAPVIDA ASSISTENCIA MEDICA S.A.,HAPVIDA,63.554.067/0001-98,,,,,,,
350249,H.B. SAÚDE S/A.,HAPVIDA SAO JOSE DO RIO PRETO,02.668.512/0001-56,,,,,,,
414352,HBC SAÚDE LTDA.,HBC SAÚDE,05.011.316/0001-00,,,,,,,
417611,HEALTH ADMINISTRADORA DE BENEFICIOS LTDA,,10.846.369/0001-73,,,,,,,
421723,HEALTH-MED SISTEMA DE SAUDE LTDA,HEALTH-MED,27.047.334/0001-77,,,,,,,
419303,HEBROM ADMINISTRADORA DE BENEFICIOS LTDA. - ME,,18.918.915/0001-46,,,,,,,
423670,HES PLANO DE SAUDE LTDA,,49.960.804/0001-21,,,,,,,
424137,HOME ADMINISTRADORA DE BENEFÍCIOS LTDA,HOME BENEFICIOS,54.579.080/0001-00,,,,,,,
416398,HOSPITAIS E CLÍNICAS DO PIAUÍ S/S LTDA,INTERMED,00.885.918/0001-65,,,,,,,
314706,HOSPITAL CESAR LEITE,HOSPITAL CESAR LEITE,22.263.081/0001-55,,,,,,,
420930,HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO,HOSPITAL DE CARIDADE SÃO VICENTE DE PAULO,77.893.469/0001-21,,,,,,,
424391,HOSPITAL DE CLÍNICAS DE PASSO FUNDO,HC HCPF,92.030.543/0001-70,,,,,,,
341941,HOSPITAL DE PRONTOCLINICA LTDA.,HOSPITAL DE PRONTOCLINICA LTDA.,90.619.818/0001-80,,,,,,,
421626,HOSPITAL MATER DEI SA,,16.676.520/0001-59,,,,,,,
424129,HOSPITAL MATERNIDADE SÃO VICENTE DE PAULO,HOSPITAL MATERNIDADE SÃO VICENTE DE PAULO,03.284.505/0001-13,,,,,,,
363189,HOSPITAL S.P. LTDA.,PRONTOCLÍNICA,03.044.492/0001-05,,,,,,,
342955,HSMED SAUDE LTDA,HSMED SAÚDE,29.780.384/0001-94,,,,,,,
423343,HUB HEALTH ADMINISTRADORA DE BENEFICIOS LTDA,HUB HEALTH,46.316.638/0001-37,,,,,,,
348180,HUMANA SAÚDE LTDA.,HUMANA SAÚDE,95.642.179/0001-97,,,,,,,
357511,HUMANA SAÚDE NORDESTE LTDA.,HUMANA SAUDE,00.361.325/0001-08,,,,,,,
423122,H2U ADMINISTRADORA DE BENEFICIOS LTDA.,H2U ADMINISTRADORA,20.973.213/0001-07,,,,,,,
417050,IBBCA 2008 GESTÃO EM SAÚDE LTDA,IBBCA GESTÃO,09.298.037/0001-12,,,,,,,
423840,IDEAL ADMINISTRADORA DE BENEFICIOS LTDA,IDEALL SOLUÇÕES EM SAUDE E VIDA,51.380.961/0001-00,,,,,,,
414921,IDEAL ODONTO ASSISTÊNCIA ODONTOLÓGICA LTDA.,,01.176.747/0001-68,,,,,,,
420751,IDEAL SAÚDE ASSISTÊNCIA MÉDICA AMBULATORIAL LTDA,IDEAL SAÚDE,26.032.244/0001-40,,,,,,,
414557,IDENTAL ASSISTÊNCIA ODONTOLÓGICA LTDA - ME,IDENTAL,16.482.945/0001-27,,,,,,,
424277,IMPERIUM OPERADORA DE PLANOS DE SAUDE S/A,,57.395.677/0001-93,,,,,,,
421812,IMPETU ADMINISTRADORA DE BENEFICIOS LTDA,,30.095.515/0001-83,,,,,,,
418277,INDEPENDENCIA ADMINISTRADORA DE BENEFICIOS LTDA,INDEPENDENCIA ADMINISTRADORA DE BENEFICIOS LTDA,13.412.400/0001-56,,,,,,,
329282,INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,INDUSTRIAS NUCLEARES DO BRASIL S/A - INB,00.322.818/0001-20,,,,,,,
423564,INFINITY SAÚDE SUPLEMENTAR LTDA,INFINITY,42.785.902/0001-20,,,,,,,
423572,INNOVA PLANO DE SAUDE LTDA,INNOVA PLANO DE SAUDE,48.982.275/0001-02,,,,,,,
420301,INOVA ADMINISTRADORA DE BENEFÍCIOS LTDA ME,HUBCARE ADMNISTRADORA DE BENEFÍCIOS,25.291.830/0001-46,,,,,,,
419427,INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM,IBCM,92.827.666/0001-36,,,,,,,
419010,INSTITUTO CURITIBA DE SAÚDE,INSTITUTO CURITIBA DE SAÚDE - ICS,03.518.900/0001-13,,,,,,,
414981,INSTITUTO DE ODONTOLOGIA DO MARANHÃO LTDA.,IOMA,07.521.370/0001-13,,,,,,,
415260,INSTITUTO DE SAÚDE ODONTOLÓGICA - ISODONT LTDA,ISODONT,05.597.049/0001-97,,,,,,,
424439,INTEGRA ADMINISTRADORA DE BENEFICIOS LTDA,INTEGRA ADMINISTRADORA DE BENEFICIOS,58.418.932/0001-39,,,,,,,
423173,INTEGRA ASSISTENCIA MEDICA SA,BLUE COMPANY,44.477.823/0001-88,,,,,,,
424561,INTEGRA PLANOS DE SAÚDE LTDA,INTEGRA PLANOS DE SAÚDE,59.545.401/0001-70,,,,,,,
418340,INTEGRAL CONVÊNIO ODONTOLÓGICO LTDA.,INTEGRAL CONVÊNIO ODONTOLÓGICO,13.523.003/0001-51,,,,,,,
359394,INTEGRAL SERVIÇOS ODONTOLÓGICOS LTDA.,INTEGRAL CONVÊNIO ODONTOLÓGICO LTDA.,60.255.171/0001-93,,,,,,,
423939,INTEGRALCARE PLANOS DE SAUDE LTDA,INTEGRALCARE PLANOS DE SAUDE,53.654.432/0001-82,,,,,,,
417998,INTERBRASIL ADMINISTRADORA DE BENEFICIOS  DE SAUDE LTDA,INTERBRASIL SAÚDE,11.980.614/0001-01,,,,,,,
420841,INTERCLINICAS PLANO VIDA USA OPERADORA DE SAUDE LTDA,,22.694.698/0001-25,,,,,,,
312282,INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA,INTERMEDICI PIRACICABA,62.476.676/0001-03,,,,,,,
421375,INTERVIDA ADMINISTRADORA DE BENEFÍCIOS LTDA,,29.958.867/0001-36,,,,,,,
423424,IPRESB - INSTITUTO DE PREVENÇÃO EM SAÚDE BUCAL LTDA,IPRESB,35.288.631/0001-32,,,,,,,
319422,IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA,FREI GALVÃO SAÚDE,51.473.692/0001-26,,,,,,,
333875,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS,SANTA CASA DE MISERICÓRDIA DE PASSOS,23.278.898/0001-60,,,,,,,
354562,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PIRACICABA,SANTA CASA SAÚDE,54.370.630/0001-87,,,,,,,
347655,IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE RIO CLARO,,56.384.183/0001-40,,,,,,,
321320,IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI,IRM.DA STA.CASA DE MIS.E MAT. DONA ZILDA SALVAGNI,72.127.210/0001-56,,,,,,,
329355,IRMANDADE DE MISERICORDIA DE PORTO FERREIRA,HOSPITAL DONA BALBINA,55.189.930/0001-27,,,,,,,
333808,IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO,SISTEMA VIDA DE SAÚDE,52.852.100/0001-40,,,,,,,
336831,IRMANDADE SANTA CASA DE MISERICÓRDIA DE MARINGÁ,SANTA CASA SAUDE,79.115.762/0001-93,,,,,,,
366234,ITAIPU BINACIONAL,ITAIPU BINACIONAL,00.395.988/0001-35,,,,,,,
884,ITAUSEG SAÚDE S.A.,ITAUSEG SAÚDE,,,,,,,,
423211,J&L ADMINISTRADORA DE BENEFICIOS E SOL EM SAUDE LTDA,,44.301.933/0001-94,,,,,,,
422029,KLINI PLANOS DE SAÚDE LTDA,KLINI,34.539.000/0001-86,,,,,,,
424323,LAGO SAUDE ADMINISTRADORA DE BENEFICIOS LTDA,LAGO SAUDE,57.352.183/0001-21,,,,,,,
419095,LANCERS ADMINISTRADORA DE BENEFÍCIOS DE SAÚDE LTDA.,,17.827.384/0001-13,,,,,,,
424358,LD RODRIGUES LTDA,ODONTO MAIS,42.728.640/0001-62,,,,,,,
364592,LEADER ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA.,NEW SAÚDE LEADER,02.127.779/0001-36,,,,,,,
422339,LEVE SAUDE OPERADORA DE PLANOS DE SAUDE S.A,LEVE SAUDE,36.503.186/0001-49,,,,,,,
418706,LEXUS ADMINISTRADORA DE BENEFICIOS LTDA,,15.648.898/0001-86,,,,,,,
412490,LÍDER COMÉRCIO E INDÚSTRIA LTDA.,PROGRAMA DE ASSISTÊNCIA MÉDICA LÍDER,05.054.671/0001-59,,,,,,,
418595,LIFE CLASS ADMINISTRADORA DE BENEFICIOS LTDA.,LIFE CLASS,14.468.083/0001-52,,,,,,,
414492,LIFE EMPRESARIAL SAÚDE LTDA.,LIFE EMPRESARIAL SAÚDE,04.558.034/0001-57,,,,,,,
423688,LIFEMED ADMINISTRADORA DE BENEFICIOS LTDA,BRMED,51.103.213/0001-80,,,,,,,
418536,LIKE DENTAL PLANOS ODONTOLÓGICOS SS LTDA,ON DENTAL PLANOS ODONTOLÓGICOS,14.095.581/0001-05,,,,,,,
379280,LIV LINHAS INTELIGENTES DE ATENÇÃO À VIDA S/A,LIV SAÚDE,00.846.662/0001-87,,,,,,,
421685,LIVEN PRESTADORA DE SERVIÇOS LTDA,,30.927.464/0001-09,,,,,,,
422479,LIVRI OPERADORA DE PLANO DE SAÚDE LTDA,LIVRI SAÚDE,39.149.389/0001-77,,,,,,,
418374,LUMINAR SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE,LUMINAR SAÚDE,11.828.089/0001-03,,,,,,,
416835,MACIEL & MACIEL ASSISTÊNCIA ODONTOLÓGICA LTDA,D.VIP+,07.873.459/0001-49,,,,,,,
424447,MAIS DENTAL COMPANY ATIVIDADE ODONTOLOGICA LTDA,MAIS DENTAL,20.735.214/0001-13,,,,,,,
349291,MAIS DENTAL PLANOS ODONTOLOGICOS LTDA,MAIS DENTAL.COM E + DENTAL.COM,01.541.601/0001-74,,,,,,,
423254,MAIS SAUDE ADMINISTRADORA DE BENEFICIOS LTDA,MAIS ADMINISTRADORA,45.901.045/0001-75,,,,,,,
415065,MAIS SAÚDE PLANO DE SAÚDE LTDA,MAIS SAÚDE PLANO DE SAÚDE,00.395.266/0001-80,,,,,,,
419516,MAIS SAUDE S/A,,19.691.730/0001-04,,,,,,,
418048,MAIS VOCE ADMINISTRADORA DE BENEFICIOS LTDA,MAIS VOCE ADMINISTRADORA DE BENEFICIOS,12.706.827/0001-02,,,,,,,
417564,MAPMA ADMINISTRADORA DE BENEFÍCIOS LTDA.,MAPMA,11.055.313/0001-63,,,,,,,
420964,MASTER HEALTH ADMINISTRADORA DE BENEFÍCIOS LTDA,MASTER HEALTH,26.701.100/0001-39,,,,,,,
416495,MATÃO CLINICAS & AMHMA SAÚDE LTDA,HSAÚDE,50.432.863/0001-06,,,,,,,
329967,MATTOS ODONTOLOGIA LTDA,MATTOS ODONTOLOGIA LTDA,00.844.669/0001-60,,,,,,,
424196,MAXIMED PLANOS DE SAUDE LTDA,MAXIMED SAUDE,57.303.461/0001-50,,,,,,,
417696,MAXMED ADMINISTRADORA DE BENEFICIOS LTDA,MAXMED,11.235.328/0001-03,,,,,,,
424064,MB PLANOS DE SAÚDE LTDA,MB PLANOS,35.490.202/0001-43,,,,,,,
423611,MED CARE ADMINISTRADORA DE BENEFICIOS LTDA,,48.825.895/0001-20,,,,,,,
419559,MED CORP SAÚDE CORPORATIVA LTDA - EPP,MED CORP SAÚDE CORPORATIVA,20.613.814/0001-09,,,,,,,
422797,MEDCORP ADMINISTRADORA DE BENEFICIOS LTDA,,41.058.486/0001-04,,,,,,,
419753,MEDGOLD ASSISTENCIA MEDICA LTDA - ME,GOLDMED,14.576.780/0001-27,,,,,,,
421367,MEDHEALTH PLANOS DE SAÚDE LTDA,MEDHEALTH,28.310.835/0001-67,,,,,,,
